"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader"
"1",2957,"longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","Wacharapluesadee et al.","Virol J",2018,367,4,0.010899,"Pteropus lylei","alphacoronavirus","","","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"rectal swab","Thailand","N","Chonburi","S1, S2, S3 (pooled)","NA","NA","2012","","January",NA,"December","","Year",NA,"","","","only use these two rows for prevalence estimates","VERENA Admin","4/12/2022 1:58pm","faecal, rectal, or anal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Pteropus lylei"
"2",2958,"longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","Wacharapluesadee et al.","Virol J",2018,367,64,0.174387,"Pteropus lylei","betacoronavirus","","","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"rectal swab","Thailand","N","Chonburi","S1, S2, S3 (pooled)","NA","NA","2012","","January",NA,"December","","Year",NA,"","","","only use these two rows for prevalence estimates","VERENA Admin","4/12/2022 5:25pm","faecal, rectal, or anal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Pteropus lylei"
"3",2173,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,253,1,0.003953,"Carollia sowelli","alphacoronavirus","","","","Mex Cov 2","single","cross-sectional","RNA","RT-PCR","single","NA",NA,"oral swab","Mexico","N","Chiapas","Montes Azules","NA","NA","","","",NA,"","",NA,NA,"N","Y, Forested","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","oropharyngeal","swab",NA,NA,NA,NA,NA,NA,"NA","No","No","PCR","alphacoronavirus",1,"Carollia sowelli"
"4",2174,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,253,2,0.007905,"Artibeus phaeotis","betacoronavirus","","","","Mex Cov 11a (1), Mex Cov 11b (1)","single","cross-sectional","RNA","RT-PCR","single","NA",NA,"oral swab","Mexico","N","Chiapas","Montes Azules","NA","NA","","","",NA,"","",NA,NA,"N","Y, Forested","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/25/2022 8:35pm","oropharyngeal","swab",NA,NA,NA,NA,NA,NA,"NA","No","No","PCR","betacoronavirus",1,"Dermanura phaeotis"
"5",2177,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,253,1,0.003953,"Lonchorhina aurita","alphacoronavirus","","","","Mex Cov 3","single","cross-sectional","RNA","RT-PCR","single","NA",NA,"rectal swab","Mexico","N","Chiapas","Montes Azules","NA","NA","","","",NA,"","",NA,NA,"N","Y, Forested","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,"NA","No","No","PCR","alphacoronavirus",1,"Lonchorhina aurita"
"6",2178,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,253,1,0.003953,"Artibeus jamaicensis","alphacoronavirus","","","","Mex Cov 5a","single","cross-sectional","RNA","RT-PCR","single","NA",NA,"rectal swab","Mexico","N","Chiapas","Montes Azules","NA","NA","","","",NA,"","",NA,NA,"N","Y, Forested","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,"NA","No","No","PCR","alphacoronavirus",1,"Artibeus jamaicensis"
"7",2182,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,142,1,0.007042,"Artibeus jamaicensis","alphacoronavirus","","","","Mex Cov 5a","single","cross-sectional","RNA","RT-PCR","single","NA",NA,"rectal swab","Mexico","N","Chiapas","Montes Azules","NA","NA","","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,"NA","No","No","PCR","alphacoronavirus",1,"Artibeus jamaicensis"
"8",2183,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,142,1,0.007042,"Eptesicus fuscus","alphacoronavirus","","","","Mex Cov 6","single","cross-sectional","RNA","RT-PCR","single","NA",NA,"blood","Mexico","N","Chiapas","Montes Azules","NA","NA","","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","blood or serum","sera",NA,NA,NA,NA,NA,NA,"NA","No","No","PCR","alphacoronavirus",1,"Eptesicus fuscus"
"9",2184,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,293,1,0.003413,"Carollia sowelli","alphacoronavirus","","","","Mex Cov 1","single","cross-sectional","RNA","RT-PCR","single","NA",NA,"oral swab","Mexico","N","Chiapas","Montes Azules","NA","NA","","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","oropharyngeal","swab",NA,NA,NA,NA,NA,NA,"NA","No","No","PCR","alphacoronavirus",1,"Carollia sowelli"
"10",2186,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,293,1,0.003413,"Carollia sowelli","alphacoronavirus","","","","Mex Cov 1","single","cross-sectional","RNA","RT-PCR","single","NA",NA,"rectal swab","Mexico","N","Chiapas","Montes Azules","NA","NA","","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,"NA","No","No","PCR","alphacoronavirus",1,"Carollia sowelli"
